"시점",전국,전국,전국,서울특별시,서울특별시,서울특별시,부산광역시,부산광역시,부산광역시,대구광역시,대구광역시,대구광역시,인천광역시,인천광역시,인천광역시,광주광역시,광주광역시,광주광역시,대전광역시,대전광역시,대전광역시,울산광역시,울산광역시,울산광역시,세종특별자치시,세종특별자치시,세종특별자치시,경기도,경기도,경기도,강원특별자치도,강원특별자치도,강원특별자치도,충청북도,충청북도,충청북도,충청남도,충청남도,충청남도,전북특별자치도,전북특별자치도,전북특별자치도,전라남도,전라남도,전라남도,경상북도,경상북도,경상북도,경상남도,경상남도,경상남도,제주특별자치도,제주특별자치도,제주특별자치도
"시점",총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"2016.01",51541582,25763237,25778345,10018537,4927897,5090640,3513361,1735280,1778081,2487823,1237155,1250668,2927195,1470473,1456722,1472802,729995,742807,1518024,759361,758663,1173568,604924,568644,215418,108003,107415,12536474,6306634,6229840,1549193,781185,768008,1583982,799002,784980,2078572,1054997,1023575,1868354,929631,938723,1906904,952924,953980,2701160,1356568,1344592,3364764,1695187,1669577,625451,314021,311430
"2017.01",51704332,25830890,25873442,9930478,4875745,5054733,3496779,1724481,1772298,2484688,1234155,1250533,2944009,1478103,1465906,1469583,728408,741175,1514354,757142,757212,1171656,603471,568185,244939,122451,122488,12728620,6401310,6327310,1549212,780219,768993,1591674,803295,788379,2097406,1065288,1032118,1863298,926821,936477,1902380,951308,951072,2698803,1356260,1342543,3374065,1699430,1674635,642388,323003,319385
"2018.01",51779148,25855611,25923537,9851767,4826345,5025422,3467055,1707568,1759487,2474309,1227177,1247132,2950771,1480645,1470126,1464037,725343,738694,1501378,750415,750963,1164489,599243,565246,283198,141253,141945,12890445,6483951,6406494,1548078,779669,768409,1593903,804965,788938,2117685,1076905,1040780,1851694,920846,930848,1893444,947078,946366,2688747,1351679,1337068,3379981,1701185,1678796,658167,331344,326823
"2019.01",51826287,25865518,25960769,9766288,4772822,4993466,3438259,1690527,1747732,2460382,1218478,1241904,2955916,1482441,1473475,1459832,722902,736930,1488725,743851,744874,1154786,593436,561350,316814,158090,158724,13090648,6584729,6505919,1541693,775683,766010,1599155,809020,790135,2125797,1081976,1043821,1834532,912117,922415,1878904,941188,937716,2674005,1345392,1328613,3373214,1697053,1676161,667337,335813,331524
"2020.01",51847509,25862863,25984646,9733509,4745088,4988421,3411819,1674202,1737617,2436488,1204387,1232101,2956119,1481749,1474370,1456688,720931,735757,1474152,736259,737893,1147037,589233,557804,342328,170729,171599,13250368,6665310,6585058,1540540,774866,765674,1599391,810129,789262,2122455,1081552,1040903,1817302,903385,913917,1864712,935962,928750,2662508,1340346,1322162,3361344,1691504,1669840,670749,337231,333518
"2021.01",51825932,25838512,25987420,9657969,4695999,4961970,3389388,1659527,1729861,2415813,1191656,1224157,2942452,1473639,1468813,1449115,716929,732186,1463291,730396,732895,1135370,583402,551968,357871,178656,179215,13449499,6765862,6683637,1541696,775727,765969,1599658,811057,788601,2119837,1082095,1037742,1802748,896115,906633,1850575,930132,920443,2637639,1328384,1309255,3338396,1680383,1658013,674615,338553,336062
"2022.01",51632473,25742528,25889945,9505926,4615631,4890295,3348874,1638207,1710667,2383858,1174667,1209191,2949150,1476663,1472487,1441636,713037,728599,1451272,724026,727246,1121100,575939,545161,374377,186907,187470,13571450,6830317,6741133,1538660,774315,764345,1597097,810548,786549,2118638,1083242,1035396,1785392,888291,897101,1832604,922190,910414,2624310,1322509,1301801,3311438,1666968,1644470,676691,339071,337620
"2023.01",51430018,25631538,25798480,9424873,4567739,4857134,3316107,1618749,1697358,2362880,1162217,1200663,2969502,1486300,1483202,1429816,706724,723092,1445806,721037,724769,1110074,570113,539961,384496,191769,192727,13596091,6842226,6753865,1535373,772297,763076,1594459,810740,783719,2122913,1086686,1036227,1768229,879922,888307,1816707,914811,901896,2597527,1310583,1286944,3277672,1650300,1627372,677493,339325,338168
"2024.01",51313912,25558944,25754968,9384325,4538354,4845971,3290964,1603859,1687105,2373844,1166110,1207734,3000454,1500414,1500040,1418241,700377,717864,1441562,719008,722554,1103402,567081,536321,386944,192704,194240,13635250,6857867,6777383,1526243,767496,758747,1592155,809830,782325,2130509,1092059,1038450,1752921,872493,880428,1802672,908705,893967,2551370,1288999,1262371,3248703,1636010,1612693,674353,337578,336775
"2025.01",51207874,25492996,25714878,9330658,4504432,4826226,3263891,1588357,1675534,2363281,1159235,1204046,3023649,1510615,1513034,1407097,694532,712565,1438974,717162,721812,1097821,564893,532928,390910,194470,196440,13699647,6884215,6815432,1515822,762039,753783,1590666,809763,780903,2135815,1095933,1039882,1737351,865346,872005,1787592,901816,885776,2528641,1279180,1249461,3226599,1626214,1600385,669460,334794,334666
