Study_Hours,Sleep_Hours,Smartphone_Hours,Attendance,Exam_Score
5.2,7.3,1.0,86.8,66.5
4.3,7.4,2.4,84.4,57.7
5.5,7.9,1.3,95.6,77.5
6.8,7.8,1.0,100.0,91.9
4.1,5.9,2.7,86.5,54.8
4.1,6.2,3.2,87.2,60.3
6.9,7.4,1.6,100.0,86.2
5.7,7.4,1.5,89.6,76.7
3.8,7.4,3.4,87.9,55.0
5.3,9.0,1.6,90.2,69.1
3.8,7.5,1.7,84.1,61.9
3.8,7.9,3.2,90.7,49.2
4.9,7.8,2.2,93.6,61.1
1.6,7.5,7.3,80.6,40.0
1.9,6.7,4.9,84.2,40.0
3.7,7.6,3.6,84.7,47.3
3.0,6.4,4.0,85.3,51.7
5.0,6.8,1.1,88.3,72.9
3.1,6.6,4.8,84.2,49.0
2.4,7.1,5.2,78.9,40.0
6.7,8.9,1.0,97.3,94.8
4.2,5.5,2.1,89.6,66.8
4.6,7.5,3.5,84.3,58.5
2.4,5.7,3.5,89.9,43.7
3.7,6.6,3.8,79.7,52.6
4.7,7.9,4.1,82.6,64.0
2.8,7.1,3.4,86.9,40.2
5.1,6.1,1.5,94.2,76.0
3.6,6.4,3.5,87.5,57.2
4.1,7.5,2.5,89.4,50.9
3.6,6.4,2.2,84.3,48.8
7.3,7.2,1.0,94.6,85.4
4.5,7.0,1.7,88.3,64.9
2.9,6.5,4.5,78.3,43.3
5.7,8.7,1.0,97.8,84.5
2.7,7.5,5.6,79.9,40.0
4.8,5.4,1.6,85.1,71.3
1.6,7.1,5.2,74.6,40.0
2.5,6.5,5.1,82.1,40.0
4.8,7.7,1.2,86.4,68.5
5.6,6.4,1.6,88.3,77.8
4.8,6.9,3.3,90.2,64.4
4.3,7.4,1.4,88.5,55.1
4.0,7.7,3.1,83.7,55.0
2.3,6.0,4.9,76.8,40.0
3.4,6.7,4.2,84.8,51.1
3.8,6.6,2.2,78.0,56.5
6.1,6.5,1.0,87.3,77.1
5.0,8.4,2.4,86.5,61.6
1.9,7.3,5.4,76.4,40.0
5.0,6.0,2.2,91.5,67.9
3.9,7.7,3.4,93.1,61.5
3.5,8.7,3.0,88.2,42.6
5.4,7.8,1.8,90.9,76.4
6.0,5.8,1.2,94.1,78.2
5.9,6.6,1.0,88.6,76.8
3.2,8.0,5.3,82.9,40.0
4.0,6.4,3.3,84.7,50.1
5.0,7.4,1.1,91.6,70.9
6.0,7.6,1.6,89.7,73.6
3.8,6.3,2.4,87.7,66.1
4.2,7.0,3.4,94.5,61.0
2.8,5.0,5.1,80.8,40.0
2.7,6.2,3.6,82.8,42.2
5.7,6.8,2.1,96.3,78.4
6.5,6.0,1.0,94.1,85.7
4.4,8.3,3.3,88.7,60.4
6.0,5.9,2.5,94.1,80.6
5.0,6.6,1.8,90.7,68.9
3.5,7.1,2.9,80.3,48.4
5.0,8.2,1.2,90.3,69.2
6.8,5.9,1.0,99.7,79.0
4.4,7.9,2.5,95.0,56.5
6.8,7.0,1.0,100.0,100.0
1.0,6.2,6.2,84.8,40.0
5.7,7.4,1.9,89.1,75.5
4.6,7.2,2.4,92.9,69.9
4.1,6.5,4.1,87.1,55.7
4.6,7.1,2.2,99.5,85.5
1.5,6.7,7.7,72.0,40.0
4.2,7.1,3.3,82.5,55.8
5.0,7.5,1.3,87.1,66.6
6.7,8.3,1.0,86.2,76.4
3.7,6.0,3.7,82.3,50.4
3.3,8.7,3.5,79.4,40.0
3.7,5.4,3.8,85.7,40.3
5.9,6.9,1.5,95.2,78.4
5.0,7.5,1.9,99.4,68.0
3.7,7.2,2.6,89.6,65.2
5.3,6.5,1.0,88.2,79.2
4.6,6.8,2.0,84.1,65.2
6.0,6.6,1.7,96.3,89.2
3.4,6.5,3.7,77.2,46.8
4.0,7.7,2.0,95.2,58.2
3.9,7.3,3.2,91.5,65.0
2.3,6.4,5.0,76.9,40.0
4.9,7.7,1.3,81.2,62.7
4.9,7.2,2.2,96.3,70.0
4.5,7.7,2.5,87.5,58.3
4.1,7.5,1.9,92.8,56.6
